title,price,rating
A Light in the Attic,£51.77,Three
Tipping the Velvet,£53.74,One
Soumission,£50.10,One
Sharp Objects,£47.82,Four
Sapiens: A Brief History of Humankind,£54.23,Five
The Requiem Red,£22.65,One
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four
The Black Maria,£52.15,One
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two
Shakespeare's Sonnets,£20.66,Four
Set Me Free,£17.46,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five
Rip it Up and Start Again,£35.02,Five
